user_id,movie_id,rating,timestamp,name,age,gender,preferred_genres,title,genre,release_year,match_score,tag
69,165,4,2024-08-04T03:51:08,Amy,43,Male,"Action, Thriller, Horror",Value somebody how group,Comedy,1988,,
95,489,5,2023-05-20T08:37:39,Brittney,42,Other,"Sci-Fi, Thriller, Action",Service cost,"Action, Thriller, Comedy",2001,,
5,305,3,2020-12-11T17:48:35,Catherine,25,Other,"Action, Romance, Horror",Seven me back,"Sci-Fi, Drama",2013,,
3,397,1,2024-06-28T10:21:55,Philip,32,Other,"Comedy, Thriller, Action",Then direction office,"Drama, Action",1983,,
53,162,5,2020-08-06T10:57:09,Benjamin,24,Other,"Thriller, Action, Sci-Fi",Visit role,Comedy,1996,,
23,365,1,2024-02-26T06:38:22,Amanda,19,Female,"Action, Sci-Fi, Comedy",Myself back,Drama,1993,,
53,342,4,2021-03-17T00:04:15,Benjamin,24,Other,"Thriller, Action, Sci-Fi",Real recent,"Comedy, Thriller, Horror",2015,0.53,
37,309,5,2022-12-26T18:57:37,William,20,Female,"Horror, Drama, Action",Sign science market,"Thriller, Romance, Horror",1990,,
74,379,5,2022-07-02T07:39:46,Jasmin,31,Female,"Thriller, Romance, Horror",Line well,"Action, Horror, Drama",1986,,
74,343,2,2024-04-26T15:55:42,Jasmin,31,Female,"Thriller, Romance, Horror",Including speak,"Drama, Horror, Thriller",1991,,
83,435,4,2022-07-25T13:34:43,Courtney,62,Female,"Action, Sci-Fi, Thriller",Watch say,Comedy,2020,,
17,387,4,2020-07-14T03:49:23,Robert,39,Male,"Drama, Action, Horror",Enough exactly,"Drama, Sci-Fi, Horror",2008,,
85,42,5,2020-02-24T00:52:09,Wanda,64,Male,"Thriller, Drama, Action",Radio Mrs treatment,Action,1982,,
78,354,4,2024-10-18T13:45:33,Jasmine,31,Female,"Horror, Romance, Thriller",Me his,"Horror, Drama, Action",1984,,
73,416,5,2023-01-30T12:09:40,Joseph,53,Other,"Comedy, Drama, Romance",Relationship these,Sci-Fi,1980,0.25,
1,109,2,2025-04-09T15:47:36,Daniel,56,Other,"Sci-Fi, Action, Thriller",Pull of by box,Comedy,2012,,
51,51,5,2024-02-06T13:11:42,Stephanie,45,Female,"Horror, Romance, Thriller",Republican above down describe,"Drama, Comedy, Horror",1997,,
45,250,4,2020-03-28T02:32:36,Kim,42,Male,"Drama, Comedy, Sci-Fi",Allow grow,Drama,2005,,
77,497,4,2024-03-10T03:13:54,Danielle,25,Other,"Sci-Fi, Thriller, Drama",Number fly push,"Thriller, Sci-Fi, Drama",2000,,
4,341,5,2024-12-24T22:49:20,Elizabeth,60,Male,"Sci-Fi, Thriller, Romance",Feel subject family,Horror,1998,,
62,430,5,2023-12-30T07:20:36,Jeffrey,21,Other,"Romance, Comedy, Sci-Fi",Century management,"Thriller, Horror",2015,,
65,383,5,2024-02-29T07:30:18,Kimberly,59,Female,"Romance, Drama, Horror",Pick section,Horror,1988,,
32,492,3,2021-10-06T21:36:08,Elizabeth,45,Male,"Comedy, Horror, Sci-Fi",Worker by dark,Action,2012,,
34,21,4,2022-02-05T05:38:45,Dana,32,Female,"Comedy, Sci-Fi, Drama",Best,"Action, Romance",1983,,
92,300,4,2023-04-16T12:55:11,Ryan,32,Female,"Sci-Fi, Horror, Drama",Lay thought recent simply,"Comedy, Horror, Thriller",1987,,
95,139,3,2022-04-07T06:37:32,Brittney,42,Other,"Sci-Fi, Thriller, Action",Western accept style,"Horror, Romance",2010,,
72,359,5,2021-08-29T09:53:05,Steven,27,Female,"Sci-Fi, Horror, Romance",Machine would wonder,Romance,2015,,
39,324,2,2020-05-23T09:56:49,Michelle,24,Other,"Comedy, Sci-Fi, Horror",Daughter serve training,"Horror, Sci-Fi, Action",2011,,
26,499,5,2020-03-11T07:42:16,Misty,29,Male,"Horror, Drama, Thriller",Recent expert,"Action, Horror, Thriller",2007,,
34,385,5,2024-04-26T22:44:22,Dana,32,Female,"Comedy, Sci-Fi, Drama",Us such treat dog,"Drama, Romance, Comedy",1981,,
54,92,3,2021-12-12T13:40:38,Kathryn,61,Other,"Sci-Fi, Romance, Drama",Loss you,"Drama, Sci-Fi, Horror",1997,,
3,447,4,2024-07-12T11:20:09,Philip,32,Other,"Comedy, Thriller, Action",Consider evidence skin,"Drama, Comedy",1995,,
50,280,5,2023-10-29T01:23:28,Janice,37,Male,"Romance, Action, Horror",About size,"Drama, Thriller",2012,0.44,
12,125,4,2021-05-08T19:25:50,Jermaine,41,Female,"Thriller, Comedy, Horror",Available,"Horror, Drama",1984,,
65,483,1,2023-03-05T20:32:24,Kimberly,59,Female,"Romance, Drama, Horror",Activity,Thriller,1997,,
54,397,4,2021-11-19T19:30:05,Kathryn,61,Other,"Sci-Fi, Romance, Drama",Then direction office,"Drama, Action",1983,1.0,
5,111,2,2021-08-08T04:10:02,Catherine,25,Other,"Action, Romance, Horror",Face,"Horror, Sci-Fi",2001,,
94,354,2,2024-12-27T04:05:33,Jennifer,18,Male,"Thriller, Sci-Fi, Action",Me his,"Horror, Drama, Action",1984,,
94,139,5,2024-05-09T18:58:00,Jennifer,18,Male,"Thriller, Sci-Fi, Action",Western accept style,"Horror, Romance",2010,,
57,484,4,2024-01-22T19:54:24,Patricia,52,Other,"Comedy, Horror, Action",Key water,"Action, Drama, Horror",2011,,
17,435,5,2024-02-05T20:54:36,Robert,39,Male,"Drama, Action, Horror",Watch say,Comedy,2020,,
47,273,3,2022-03-10T17:34:08,Ruth,26,Other,"Thriller, Action, Sci-Fi",Character only staff,Horror,2007,,
23,99,2,2022-07-01T21:43:27,Amanda,19,Female,"Action, Sci-Fi, Comedy",His,"Comedy, Horror",2012,,
79,252,5,2021-06-03T18:12:49,Lindsay,40,Male,"Action, Comedy, Sci-Fi",Wonder candidate customer,Sci-Fi,2018,,
85,338,3,2020-08-27T16:18:28,Wanda,64,Male,"Thriller, Drama, Action",Institution everything,Comedy,2004,,
14,104,5,2021-11-14T12:18:03,Melinda,57,Other,"Comedy, Drama, Action",Push wear,"Romance, Sci-Fi",1999,,
66,214,4,2022-05-13T19:42:40,Lori,21,Male,"Action, Thriller, Drama",Go lead,"Comedy, Drama, Action",1996,,
75,249,4,2020-02-11T14:17:17,Andrew,48,Other,"Comedy, Romance, Thriller",Institution piece religious,"Drama, Action",2005,,
51,152,4,2020-08-18T12:50:20,Stephanie,45,Female,"Horror, Romance, Thriller",Debate behavior,"Horror, Comedy, Thriller",2019,,
38,250,4,2021-12-10T00:01:27,Suzanne,54,Other,"Comedy, Romance, Drama",Allow grow,Drama,2005,,
64,275,1,2021-09-19T19:00:50,Mary,23,Female,"Thriller, Romance, Action",Company health south,"Sci-Fi, Action",2006,,
98,165,3,2021-08-15T21:24:02,Catherine,41,Other,"Comedy, Thriller, Romance",Value somebody how group,Comedy,1988,,
38,487,3,2021-07-18T14:13:07,Suzanne,54,Other,"Comedy, Romance, Drama",Him project,"Sci-Fi, Drama, Action",2005,,
50,341,4,2022-07-04T20:16:44,Janice,37,Male,"Romance, Action, Horror",Feel subject family,Horror,1998,,PM
98,8,1,2023-05-25T15:34:55,Catherine,41,Other,"Comedy, Thriller, Romance",Month condition,"Action, Comedy",1981,,
82,284,4,2025-02-09T10:13:46,Philip,33,Other,"Romance, Comedy, Action",Land,"Horror, Thriller, Action",1991,,
30,5,1,2024-01-14T07:22:45,Shawn,44,Female,"Romance, Sci-Fi, Comedy",Clearly political big show,Comedy,2016,,
79,145,4,2021-09-16T22:05:41,Lindsay,40,Male,"Action, Comedy, Sci-Fi",Social each fact,"Comedy, Drama",2012,,
91,101,2,2023-02-19T00:07:45,Lisa,46,Male,"Comedy, Action, Sci-Fi",Tend teacher,"Horror, Thriller",2012,,
51,164,2,2021-06-26T23:26:55,Stephanie,45,Female,"Horror, Romance, Thriller",Instead third,Romance,2012,,
63,374,5,2021-03-07T15:23:31,Hannah,19,Female,"Drama, Comedy, Romance",Development bed little perhaps,Comedy,1991,,
98,147,4,2025-02-14T21:38:03,Catherine,41,Other,"Comedy, Thriller, Romance",Power turn hard,"Drama, Sci-Fi",1997,,
52,64,3,2021-07-20T20:58:04,Anthony,64,Male,"Romance, Drama, Thriller",Course technology,"Thriller, Horror, Romance",2005,,
38,91,5,2025-03-13T14:43:39,Suzanne,54,Other,"Comedy, Romance, Drama",Professor positive,"Thriller, Action, Drama",2008,,
97,117,2,2022-03-18T14:36:31,Amy,26,Other,"Thriller, Action, Comedy",Rich reality late,"Romance, Horror, Action",2006,,
88,354,4,2021-04-27T07:09:03,Diana,42,Other,"Romance, Comedy, Thriller",Me his,"Horror, Drama, Action",1984,,
79,267,5,2022-05-24T19:06:19,Lindsay,40,Male,"Action, Comedy, Sci-Fi",Guy perhaps few,Sci-Fi,1984,,early
30,310,4,2023-12-17T19:37:17,Shawn,44,Female,"Romance, Sci-Fi, Comedy",Section big,"Drama, Comedy",2008,,
51,173,2,2024-05-09T03:26:11,Stephanie,45,Female,"Horror, Romance, Thriller",Or father small,Drama,2003,,senior
